Month,Price,Change
Jul-09,"80,908.95",7.62%
Aug-09,"93,436.77",15.48%
Sep-09,"88,842.36",-4.92%
Oct-09,"87,768.77",-1.21%
Nov-09,"90,776.48",3.43%
Dec-09,"1,01,658.10",11.99%
Jan-10,"1,02,653.40",0.98%
Feb-10,"94,918.30",-7.54%
Mar-10,"1,00,351.80",5.72%
Apr-10,"1,03,092.00",2.73%
May-10,"93,396.13",-9.41%
Jun-10,"89,934.30",-3.71%
Jul-10,"93,194.40",3.62%
Aug-10,"98,634.37",5.84%
Sep-10,"99,547.30",0.93%
Oct-10,"1,04,228.80",4.70%
Nov-10,"1,04,701.30",0.45%
Dec-10,"1,06,177.30",1.41%
Jan-11,"1,10,716.10",4.27%
Feb-11,"1,14,009.30",2.97%
Mar-11,"1,14,970.80",0.84%
Apr-11,"1,18,869.80",3.39%
May-11,"1,16,567.60",-1.94%
Jun-11,"1,14,720.20",-1.58%
Jul-11,"1,12,167.70",-2.23%
Aug-11,"1,07,733.40",-3.95%
Sep-11,"1,09,462.00",1.60%
Oct-11,"1,07,375.20",-1.91%
Nov-11,"1,05,435.30",-1.81%
Dec-11,"1,06,452.30",0.96%
Jan-12,"1,09,841.70",3.18%
Feb-12,"1,08,549.50",-1.18%
Mar-12,"1,09,913.50",1.26%
Apr-12,"1,06,179.70",-3.40%
May-12,"1,09,088.60",2.74%
Jun-12,"1,05,906.80",-2.92%
Jul-12,"1,04,181.60",-1.63%
Aug-12,"1,02,528.40",-1.59%
Sep-12,"1,12,615.30",9.84%
Oct-12,"1,04,555.70",-7.16%
Nov-12,"1,06,639.80",1.99%
Dec-12,"1,13,971.00",6.87%
Jan-13,"1,10,676.70",-2.89%
Feb-13,"1,10,367.40",-0.28%
Mar-13,"1,03,857.40",-5.90%
Apr-13,"1,01,229.60",-2.53%
May-13,"1,00,822.20",-0.40%
Jun-13,"1,05,839.50",4.98%
Jul-13,"1,05,786.30",-0.05%
Aug-13,"1,14,889.70",8.61%
Sep-13,"1,12,175.70",-2.36%
Oct-13,"1,11,834.70",-0.30%
Nov-13,"1,09,612.10",-1.99%
Dec-13,"1,07,777.80",-1.67%
Jan-14,"1,07,332.90",-0.41%
Feb-14,"1,05,582.70",-1.63%
Mar-14,"1,03,971.20",-1.53%
Apr-14,"1,09,285.90",5.11%
May-14,"1,03,912.20",-4.92%
Jun-14,"1,09,808.40",5.67%
Jul-14,"1,17,022.20",6.57%
Aug-14,"1,23,647.00",5.66%
Sep-14,"1,21,184.50",-1.99%
Oct-14,"1,19,394.90",-1.48%
Nov-14,"1,26,780.80",6.19%
Dec-14,"1,19,744.00",-5.55%
Jan-15,"1,12,758.30",-5.83%
Feb-15,"1,12,755.60",0.00%
Mar-15,"1,10,777.30",-1.75%
Apr-15,"1,14,159.90",3.05%
May-15,"1,15,116.10",0.84%
Jun-15,"1,07,779.70",-6.37%
Jul-15,"1,04,347.30",-3.18%
Aug-15,"1,00,740.40",-3.46%
Sep-15,"1,05,255.40",4.48%
Oct-15,"98,686.31",-6.24%
Nov-15,"96,954.75",-1.75%
Dec-15,"99,706.80",2.84%
Jan-16,"99,668.20",-0.04%
Feb-16,"1,04,497.90",4.85%
Mar-16,"1,02,666.60",-1.75%
Apr-16,"1,04,438.90",1.73%
May-16,"1,03,715.60",-0.69%
Jun-16,"1,07,214.00",3.37%
Jul-16,"1,09,499.50",2.13%
Aug-16,"1,09,729.40",0.21%
Sep-16,"1,06,277.00",-3.15%
Oct-16,"1,11,210.90",4.64%
Nov-16,"1,17,302.50",5.48%
Dec-16,"1,17,311.70",0.01%
Jan-17,"1,21,997.00",3.99%
Feb-17,"1,24,861.40",2.35%
Mar-17,"1,25,336.00",0.38%
Apr-17,"1,23,945.20",-1.11%
May-17,"1,23,233.40",-0.57%
Jun-17,"1,21,480.60",-1.42%
Jul-17,"1,22,627.50",0.94%
Aug-17,"1,29,851.40",5.89%
Sep-17,"1,35,141.10",4.07%
